{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
{u'isTweet': False, u'conll': u'This . . \nblog . . \nattempts . . \nto . . \nexplain . . \nwhy . . \nthis . . \ntoolkit . . \nis . . \nso . . \nhard . . \nto . . \ndetect . . \nthe . . \nobfuscation . . \ntechniques . . \nit . . \nuses . . \nto . . \nthe . . \nkind . . \nof . . \nmalware . . \nit . . \ndrops . . \nThough . . \nnot . . \nas . . \nwidespread . . \nas . . \nthe . . \nBlackhole . . B_MALWARE\nToolkit . . \nthis . . \ntoolkit . . \nlooks . . \nlike . . \nit . . \nis . . \nhere . . \nto . . \nmake . . \na . . \nmark . . \n. . . \n', u'malware': [u'blackhole'], u'uniqMalware': [u'Zeus', u'Rustock', u'Blackhole', u'Incognito'], u'docID': u'M7VFiH', u'numMalwareMentions': 5, u'sentence': u'This blog attempts to explain why this toolkit is so hard to detect, the obfuscation techniques it uses to the kind of malware it drops.Though not as widespread as the Blackhole Toolkit, this toolkit looks like it is here to make a mark.', u'numUniqueMalware': 4, u'title': u'The Rise Of Incognito', u'created': u'2015-09-11T09:41:09.511199', u'random': 0.03334013469139829, u'sentence_type': u'DanielMeningar', u'_id': u'4f53d929043696eabf781fffb234c8af'}
